stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
253,Boulevard Eduardo Vasconcelos - ISSSTE,,17.066461,-96.714197,0,
254,Boulevard Eduardo Vasconcelos - Panteón General,,17.063229,-96.71422,0,
255,Boulevard Eduardo Vasconcelos - Privada,,17.060018,-96.713549,0,
256,Boulevard Eduardo Vasconcelos - Vicete Guerrero,,17.057701,-96.712995,0,
257,Boulevard Eduardo Vasconcelos - Ignacio López Rayón,,17.055897,-96.713102,0,
258,Periférico - Emiliano Zapata,,17.0535,-96.71598,0,
259,Periférico - González Ortega,,17.05264,-96.71945,0,
260,Periférico - Xicoténcatl,,17.05191,-96.72244,0,
261,CFE - Periférico,,17.05128,-96.72493,0,
262,Periférico - Miguel Cabrera,,17.050644,-96.727683,0,
263,Guadalupe Victoria Calzada Francisco I. Madero,,17.064633,-96.734112,0,
264,Francisco I. Madero - Jardín Morelos,,17.063326,-96.7318648,0,
265,Crespo - Avenida José María Morelos,,17.06356,-96.7282,0,
266,Asilo los Tamayo,,17.066654,-96.72763,0,
267,Escaleras al Fortín,,17.0679629,-96.7274913,0,
268,Crespo - Faustino G. Olivera,,17.0701,-96.72755,0,
269,Crespo - Calzada Héroes de Chapultepec,,17.07221,-96.72715,0,
270,Porfirio Díaz - Calzada Héroes de Chapultepec,,17.072538,-96.724524,0,
271,IMSS 01,,17.07187,-96.72132,0,
272,Terminal ADO,,17.070778,-96.716503,0,
273,Parque Juárez,,17.0663514,-96.6934161,0,
274,Avenida Juárez - Avenida Lázaro Cárdenas,,17.06478,-96.69377,0,
275,San Diego de los Hornos - Avenida Lázaro Cárdenas,,17.064489,-96.690576,0,
276,La Raya - Avenida Lázaro Cárdenas,,17.063968,-96.686732,0,
277,Camino Nacional - Colegio Atonalzin,,17.06426,-96.68298,0,
278,Independencia - Avenida Lázaro Cárdenas,,17.063691,-96.681663,0,
279,Allende . Independencia,,17.060606,-96.682765,0,
280,Juárez - Avenida Ferrocarril,,17.057422,-96.683903,0,
281,Base BinniBus Santa Cruz,,17.055568,-96.684485,0,
282,Cruz del Norte - Cruz del Poniente,,17.055507,-96.6831154,0,
283,Cruz del Oriente - Cruz del Norte,,17.055511,-96.681482,0,
284,Cruz del Camino - Andador Colosenses,,17.056898,-96.681166,0,
285,Corintios - Avenida Ferrocarril,,17.057011,-96.68369,0,
286,Palacio Municipal de Santa Cruz,,17.0589252,-96.68352326,0,
287,Vicente Guerrero - Independencia,,17.0610359,-96.6825621,0,
288,Independencia - Avenida Lázaro Cárdenas,,17.0637434,-96.6816607,0,
289,La Raya - Avenida Lázaro Cárdenas,,17.064172,-96.686591,0,
290,San Diego de los Hornos - Avenida Lázaro Cárdenas,,17.064406,-96.688888,0,
291,Tanque Elevado,,17.06494486,-96.69337581,0,
292,Avenida Juárez - Siracusa,,17.06646924,-96.69300269,0,
293,Siracusa - Carretera Oaxaca - Tehuantepec,,17.06830154,-96.69061541,0,
294,Privada Victoria - Periférico,,17.060154,-96.733017,0,
295,Húzares - Periférico,,17.063476,-96.735401,0,
296,Privada Margaritas - División Oriente,,17.078073,-96.740557,0,
297,Base BinniBus Colonia Jardín,,17.09391501,-96.69793367,0,
298,Bugambilias - Carretera a San Luis Beltrán,,17.0928083,-96.7004658,0,
299,Volcán de Tacaná - Seconusco,,17.09303577,-96.70343572,0,
300,Cofre de Perote - Seconusco,,17.094433,-96.706404,0,
301,Mesa de Anáhuac - Zempoaltépetl,,17.09257981,-96.70838422,0,
302,Campo de Beisbol Vinicio Castilla,,17.08898955,-96.71041881,0,
303,Circuito P,,17.0873969,-96.7114037,0,
304,Boulevard Mártires de Chicago (Base BinniBus Módulo Azul),,17.08576226,-96.71163614,0,
305,Armando Soto Ruiz - Boulevard Mártires de Chicago,,17.083675,-96.711821,0,
306,Avenida Fuerza Aérea Mexicana - Avenida Heróico Colegio Militar,,17.08061141,-96.71233537,0,
307,Heroica Escuela Naval Militar - Avenida Heróico Colegio Militar,,17.07847139,-96.71266817,0,
308,Avenida Belisario Domínguez - Avenida Heróico Colegio Militar,,17.07506907,-96.71311932,0,
309,Almendros - Avenida Heróico Colegio Militar,,17.07306467,-96.71340058,0,
310,Heróico Colegio Militar - Boulevard José Vasconcelos,,17.07066487,-96.7137011,0,
311,Primera Privada de Universidad - Avenida Universidad,,17.053407,-96.713166,0,
312,Rectoria - Piticó - Avenida Universidad,,17.050335,-96.713571,0,
313,Facultad de Enfermeria - Avenida Universidad,,17.048665,-96.71391,0,
314,GYM Universitario - Avenida Universidad,,17.047007,-96.714157,0,
