IDA
319
356
357
359
360
361
362
363
364
258
259
260
261
818
819
820
821
822
823
824
781
782
784
785
707

RETORNO
707
709
710
712
713
825
826
827
828
829
830
831
215
216
217
218
832
312
313
314
833
315
316
317
318
319
