IDA
995
996
997
998
999
1000
1001
1002
175
176
177
178
179
462
463
464
466
467
468
1003
672
673
674
832
312
313
314
833
315
316
800
801

RETORNO
801
358
359
360
361
362
363
364
701
702
703
1004
1005
1006
146
147
148
149
150
151
152
153
154
155
156
1007
1008
1009
1010
1011
1012
1013
1014
1015
995
