IDA
1192
1193
1194
1195
1196
1197
758
759
760
761
762
763
764
765
766
767
768
769
770
771
772
773
1198
775
699
700
258
259
260
261
262
21

RETORNO
21
215
216
217
218
1199
716
717
718
719
720
721
722
723
724
285
1200
1202
725
726
727
728
729
730
731
732
1202
1203
1204
1205
1206
1207
1192
