IDA
1
2
3
4
5
6
7
8
9
10
11
975
12
270
271
272
225
226
227
228
229
230
231
1360
1361
1362
1363
1364
732
757

RETORNO
757
1365
1366
1367
1368
244
245
246
247
248
249
250
251
563
180
181
51
52
984
53
1052
54
55
956
56
57
58
59
60
61
62
883
1
