IDA
892
893
894
336
337
338
339
340
341
342
343
344
345
567
895
896
897
22
23
24
25
26
27
28
29
30
31
715
716
717
718
719
898
899
900
901
902
903
904
905
906
907
908
909

RETORNO
909
910
911
912
913
914
915
916
917
918
919
920
921
922
696
697
698
699
700
701
34
35
36
37
38
39
40
41
923
924
925
926
927
127
128
129
130
131
132
133
324
325
326
327
328
929
930
931
892
